Wavelenght,signal
190,-8.9314
190.5,-10.191
191,-10.611
191.5,-9.2193
192,-7.4337
192.5,-4.4772
193,-3.8142
193.5,-2.064
194,-1.3196
194.5,0.2525
195,2.0862
195.5,3.2917
196,4.966
196.5,6.3851
197,7.4839
197.5,8.3234
198,8.5742
198.5,9.5646
199,9.7762
199.5,10.119
200,10.059
200.5,10.278
201,10.718
201.5,10.716
202,10.443
202.5,9.915
203,9.6366
203.5,9.3869
204,8.9045
204.5,8.2448
205,7.4924
205.5,6.6726
206,6.0168
206.5,5.1829
207,4.5744
207.5,4.0592
208,3.4976
208.5,2.9282
209,2.2479
209.5,1.8395
210,1.4221
210.5,1.1913
211,0.8927
211.5,0.55534
212,0.2904
212.5,0.11317
213,-0.13462
213.5,-0.26339
214,-0.32371
214.5,-0.32618
215,-0.38298
215.5,-0.43178
216,-0.54051
216.5,-0.67315
217,-0.49089
217.5,-0.48113
218,-0.31742
218.5,-0.16058
219,0.01607
219.5,0.21982
220,0.22384
220.5,0.30722
221,0.43099
221.5,0.60168
222,0.73586
222.5,0.73151
223,0.79574
223.5,0.76213
224,0.93668
224.5,0.98739
225,1.0862
225.5,1.1413
226,1.1899
226.5,1.2113
227,1.2292
227.5,1.2227
228,1.1464
228.5,1.1522
229,1.1449
229.5,1.2572
230,1.2857
230.5,1.3113
231,1.3606
231.5,1.3834
232,1.3346
232.5,1.2801
233,1.3311
233.5,1.2688
234,1.2653
234.5,1.2155
235,1.1995
235.5,1.0987
236,1.0963
236.5,0.96833
237,0.86831
237.5,0.7692
238,0.68905
238.5,0.62116
239,0.55331
239.5,0.49505
240,0.46868
